Ticker,Average RMSE,Std. Dev. RMSE,Average MAPE,Std. Dev. MAPE,Best Model
A,5.767298302784831,6.388042078688586,0.0469803898916979,0.033729725631016,<keras.src.engine.sequential.Sequential object at 0x7ec924138700>
AAL,1.881555465819284,0.9680917121231624,0.0511518895007422,0.0238679085935591,<keras.src.engine.sequential.Sequential object at 0x7ec9f0135540>
AAPL,5.905118364928481,5.349204189798841,0.052131175033799,0.0226146346920284,<keras.src.engine.sequential.Sequential object at 0x7ec95837a7d0>
ABBV,3.2333565926604173,1.4056708187682123,0.0391407084484658,0.020617185305363,<keras.src.engine.sequential.Sequential object at 0x7ec91d3a5990>
ABNB,7.933112577969563,2.6848850420951345,0.0453858744605209,0.0181134935944838,<keras.src.engine.sequential.Sequential object at 0x7ec918441b10>
ABT,2.93533721923599,1.0739936938984596,0.0339810596560309,0.0101624990352641,<keras.src.engine.sequential.Sequential object at 0x7ec9dff733d0>
ACGL,1.4769093071287085,0.9196741764575485,0.0257400175033007,0.0041747520663445,<keras.src.engine.sequential.Sequential object at 0x7ec99e10bbe0>
ACN,8.793977143754656,5.705289815465965,0.0378962340737098,0.0151102603299603,<keras.src.engine.sequential.Sequential object at 0x7ec8e0e458a0>
ADBE,21.655796957294644,18.328255998580723,0.0454711941753032,0.0238934734241825,<keras.src.engine.sequential.Sequential object at 0x7ec958465d20>
ADI,4.518907801562429,2.412080922412088,0.0323040884997571,0.0124429457604079,<keras.src.engine.sequential.Sequential object at 0x7ec91d38d600>
ADM,2.266692688151367,1.48301161930001,0.0387215115502453,0.0220217201976531,<keras.src.engine.sequential.Sequential object at 0x7ec8e0ddd390>
ADP,5.058992474331427,2.524446164218826,0.0280562656842679,0.0077501180695504,<keras.src.engine.sequential.Sequential object at 0x7ec918486e60>
ADSK,9.077871059602431,4.141587819302929,0.0475506348565952,0.0187243132764679,<keras.src.engine.sequential.Sequential object at 0x7ec8b0699300>
AEE,2.299942407398349,0.8738343513660038,0.0314487301892351,0.006742366714674,<keras.src.engine.sequential.Sequential object at 0x7ec9ff482200>
AEP,2.0381387282760044,0.4729509465481981,0.0262803971748412,0.0046357144467709,<keras.src.engine.sequential.Sequential object at 0x7ec9dffd20b0>
AES,0.6856302454724832,0.3546688024167422,0.0355678555341539,0.0103652542437512,<keras.src.engine.sequential.Sequential object at 0x7ec99e1be8c0>
AFL,1.6470535971922478,0.5409848867276371,0.030227237850668,0.0081786568119361,<keras.src.engine.sequential.Sequential object at 0x7ec92424b160>
AIG,1.7702380868645384,0.6279263165275453,0.0286725470024993,0.0109218674295704,<keras.src.engine.sequential.Sequential object at 0x7ec9240cacb0>
AIZ,5.096536528217494,1.5930638245450977,0.0418632722018742,0.0149084344377183,<keras.src.engine.sequential.Sequential object at 0x7ec9b5bc4f10>
AJG,4.281303923983619,5.037249812891104,0.0294953693890664,0.0180363169154108,<keras.src.engine.sequential.Sequential object at 0x7ec91dbab490>
