gbm_avg_MAPE,arima_avg_MAPE,xgb_avg_MAPE,lstm_avg_MAPE,MAPE_best_model
0.0839999999999999,0.030266,0.0269217569337799,0.0469803898916979,xgb_avg_MAPE
0.1519999999999999,0.015904,0.0297310027727396,0.0511518895007422,arima_avg_MAPE
0.088,0.04056399999999999,0.0195260607243421,0.052131175033799,xgb_avg_MAPE
0.1,0.03555200000000001,0.0159794455348932,0.0391407084484658,xgb_avg_MAPE
0.066,0.019798,0.0126010383451941,0.0339810596560309,xgb_avg_MAPE
0.058,0.030694,0.0097419396357053,0.0257400175033007,xgb_avg_MAPE
0.068,0.019402,0.0135945950895357,0.0378962340737098,xgb_avg_MAPE
0.142,0.03521,0.0226800555654807,0.0454711941753032,xgb_avg_MAPE
0.056,0.009698,0.0182815123483849,0.0323040884997571,arima_avg_MAPE
0.0799999999999999,0.02579,0.009986225688091,0.0387215115502453,xgb_avg_MAPE
0.064,0.29905400000000004,0.0145006446544772,0.0280562656842679,xgb_avg_MAPE
0.1319999999999999,0.037896,0.0232360235401652,0.0475506348565952,xgb_avg_MAPE
0.0499999999999999,0.008396,0.0125149899084218,0.0314487301892351,arima_avg_MAPE
0.052,0.010536,0.011465814587171,0.0262803971748412,arima_avg_MAPE
0.0659999999999999,0.03271400000000001,0.0166513968043229,0.0355678555341539,xgb_avg_MAPE
0.0579999999999999,0.018802,0.0126324962294652,0.030227237850668,xgb_avg_MAPE
0.066,0.013434,0.0134310577985649,0.0286725470024993,xgb_avg_MAPE
0.0559999999999999,0.020813999999999996,0.0157878152517217,0.0418632722018742,xgb_avg_MAPE
0.07,0.015904,0.0130709977736109,0.0294953693890664,xgb_avg_MAPE
0.096,345829996243.13104,0.0102573836083187,0.0412471929736567,xgb_avg_MAPE
0.098,0.029296000000000003,0.0541071684539791,0.0551186720054885,arima_avg_MAPE
0.19,0.054852000000000005,0.015403268527774,0.0683178167129727,xgb_avg_MAPE
0.1079999999999999,0.03178,0.017734204028642,0.0392409629999128,xgb_avg_MAPE
0.054,0.014532,0.014387855145214,0.0364060553966215,xgb_avg_MAPE
0.062,0.024006,0.0136058005915544,0.0331911267149182,xgb_avg_MAPE
0.114,0.023324,0.0184726775146682,0.0540149333371262,xgb_avg_MAPE
0.05,310660911049.544,0.0221575295014359,0.0346932152161191,xgb_avg_MAPE
0.1659999999999999,0.011102,0.0297747791242984,0.0839991239225207,arima_avg_MAPE
0.06,0.014146,0.0101217685849821,0.0311764991082589,xgb_avg_MAPE
0.048,0.021349999999999997,0.0165965398838199,0.0290822994543638,xgb_avg_MAPE
0.0799999999999999,0.012554000000000001,0.0141985802700624,0.0381296633572988,arima_avg_MAPE
0.058,0.011810000000000005,0.0174530035556227,0.0336015239476107,arima_avg_MAPE
0.124,0.051921999999999996,0.0180898045949726,0.0400708985822452,xgb_avg_MAPE
0.104,0.019034,0.0246026189769296,0.0566550896540124,arima_avg_MAPE
0.076,0.014014,0.0126819671128858,0.0361148033466084,xgb_avg_MAPE
0.052,0.029336,0.0131625835062103,0.0335853214468452,xgb_avg_MAPE
0.078,0.01347,0.0153734748204397,0.0303047727958555,arima_avg_MAPE
0.1319999999999999,0.011812,0.0437145603302329,0.079901690347372,arima_avg_MAPE
0.0559999999999999,0.010372,0.0075645910383057,0.0246255049802825,xgb_avg_MAPE
0.066,0.0529,0.0179800074905679,0.0274463898297913,xgb_avg_MAPE
0.082,0.012185999999999999,0.0151765352514888,0.0548217891592723,arima_avg_MAPE
0.068,0.012718,0.0094946213689398,0.0244308133033947,xgb_avg_MAPE
0.064,50032933130.375565,0.0072218885718189,0.025621479848838,xgb_avg_MAPE
0.09,0.043334000000000004,0.0213671172647993,0.0476003638924131,xgb_avg_MAPE
0.054,11173093370.985249,0.0082518668909814,0.0307998331352069,xgb_avg_MAPE
0.104,0.014024000000000002,0.0214362906515577,0.0484955252768366,arima_avg_MAPE
0.078,0.036434,0.0155173703901269,0.0339474148158851,xgb_avg_MAPE
0.066,0.010196,0.0122590746344199,0.0315195330100212,arima_avg_MAPE
0.158,0.015513999999999998,0.0223772096365959,0.0615964184578574,arima_avg_MAPE
0.068,0.29336400000000007,0.0099775768952381,0.0259938774834582,xgb_avg_MAPE
0.0839999999999999,0.014674,0.0134168998837862,0.0626869067597734,xgb_avg_MAPE
0.132,0.014934000000000001,0.0196258498423556,0.0467062508115242,arima_avg_MAPE
0.074,0.011830000000000005,0.0131670738104714,0.0325233029931908,arima_avg_MAPE
0.078,0.014149999999999998,0.0094136278963422,0.0391318638995214,xgb_avg_MAPE
0.052,0.019379999999999998,0.0098369340389632,0.0331375538958802,xgb_avg_MAPE
0.116,0.012464,0.0740283151817148,0.0717564859039167,arima_avg_MAPE
0.108,0.022160000000000003,0.0295616248724254,0.0368322414442401,arima_avg_MAPE
0.052,0.008631999999999999,0.0104748946365922,0.0265257878204069,arima_avg_MAPE
0.064,0.033195999999999996,0.0254637650147197,0.0549106303418716,xgb_avg_MAPE
0.068,0.017724,0.0166944890733864,0.0338483178345952,xgb_avg_MAPE
0.112,0.040220000000000006,0.0159559810650905,0.0469118904654773,xgb_avg_MAPE
0.092,0.04980600000000001,0.0135201642514078,0.0384650343157712,xgb_avg_MAPE
0.054,0.061912,0.0206994933224505,0.0370959075036135,xgb_avg_MAPE
0.058,0.009712000000000002,0.0175956537455533,0.0359340805502766,arima_avg_MAPE
0.092,0.15378400000000003,0.022275348355523,0.0418652769629947,xgb_avg_MAPE
0.096,761763952638.6697,0.0157300077418579,0.0325861294973857,xgb_avg_MAPE
