,n_estimators,max_depth,learning_rate,RMSE Avg.,RMSE Std.,MAPE Avg.,MAPE Std.,Accuracy
AAPL,500,4,0.3,1.3502460485465082,0.5812739065277863,0.019526060724342188,0.009148241227272461,0.6
AMAT,500,8,0.01,1.0459932945384016,0.5584263437132583,0.01847267751466829,0.013446251215108286,0.6
APTV,50,4,0.2,1.615626299722183,0.26478346054792273,0.015176535251488885,0.004019315639820012,0.48
ACGL,50,4,0.2,0.44415628992702727,0.18513430581208515,0.009741939635705379,0.005204580797726084,0.48
ANET,200,3,0.1,2.768527983094989,2.828411753469868,0.024602618976929655,0.009930687512549346,0.56
AJG,500,3,0.3,1.63026403396488,1.231045149689363,0.013070997773610937,0.004249018478461845,0.48
AIZ,200,4,0.2,2.068364411342871,0.7878585615908451,0.015787815251721776,0.006030660716695127,0.6
T,50,3,0.3,0.1815927892531878,0.07377253863190533,0.009677365979417646,0.005625590787527639,0.4
ATO,500,4,0.1,0.6103053864291086,0.23168175044294906,0.007221888571818991,0.004373037021274522,0.56
ADSK,100,8,0.2,4.831265170717816,3.879600630982518,0.02323602354016526,0.00917951796238905,0.52
AZO,100,3,0.2,16.70474735838759,4.09965785388918,0.01341689988378629,0.005671250788882362,0.48
AVB,200,3,0.1,1.5249852799662982,0.8976613502214685,0.008251866890981424,0.006609658665666752,0.64
AVY,100,8,0.3,2.2383510071773633,1.462134368046102,0.015517370390126975,0.007236498766904138,0.64
AXON,50,4,0.2,1.8142118605136541,1.0259538563872006,0.022377209636595934,0.01484180938641632,0.44
BKR,500,4,0.1,0.6897954887540881,0.5533184014560505,0.022275348355523073,0.016736426479990848,0.52
BALL,50,8,0.3,0.5725668844808501,0.20765375636006914,0.009413627896342244,0.00622684528098775,0.6
BAC,50,4,0.3,0.34598894689322746,0.058086460431575025,0.013167073810471478,0.005428019036161862,0.64
BBWI,50,3,0.3,2.1778856247958176,1.2861195069859113,0.07402831518171486,0.06373753531750996,0.36
BAX,50,4,0.2,0.6790230156124722,0.2620469798138607,0.009836934038963236,0.0017704059027390253,0.4
BDX,50,5,0.3,2.5250668974980455,1.0202704309205264,0.010474894636592274,0.004283901220204362,0.56
WRB,50,3,0.2,0.5470039751985956,0.2075783346603357,0.012920371628130903,0.007919501564620422,0.56
BBY,200,3,0.3,2.287627132147125,1.5160567241273883,0.029561624872425456,0.013727114530357359,0.44
BIO,50,3,0.3,6.823222965005411,5.892254953864915,0.013520164251407863,0.005865086255268877,0.6
TECH,500,3,0.1,1.5025998039952397,1.0592206886448263,0.02160242279370068,0.006920963043798749,0.4
BIIB,200,4,0.1,5.215480749114741,3.0853725862221077,0.015955981065090514,0.009750883010238444,0.56
BLK,100,8,0.3,8.984691453521442,4.071364822429325,0.01573000774185795,0.004457593081810567,0.36
BX,50,3,0.2,1.4559401619651287,1.2813105075473266,0.02185262618108499,0.011318443353892179,0.28
BK,100,3,0.2,0.918543287786299,0.31276061663731425,0.020699493322450503,0.008173445093326964,0.4
BA,50,3,0.2,4.9242533457352735,2.711749126248114,0.019625849842355603,0.005816904364343699,0.36
BKNG,100,3,0.1,44.960823762410584,24.258890359547227,0.01759565374555337,0.006730454045188215,0.44
BWA,100,8,0.2,0.5998803270014422,0.3258701984689494,0.014737953964426245,0.01026851811224958,0.64
BXP,500,8,0.01,1.403276007312503,0.8884174780319871,0.014362970139868944,0.009407990917342124,0.64
BSX,50,3,0.1,0.729579723328262,0.36005406832331377,0.01830449947586078,0.012984267633859306,0.4
BMY,200,3,0.1,0.688677968311841,0.29507893195670903,0.011533184265456232,0.006420598550691277,0.68
AVGO,50,4,0.2,7.346882341430415,4.314042134285487,0.021436290651557752,0.012212567157913115,0.52
BR,500,3,0.2,1.7359097398052978,0.9078269244040776,0.014405167587059415,0.003977525657125235,0.36
BRO,500,3,0.3,0.6968096324564547,0.4480480166674188,0.016316054873511034,0.007124563230760738,0.52
BG,500,4,0.01,1.2666712784385015,0.6453071217152606,0.016694489073386484,0.01136810702293343,0.52
CHRW,50,3,0.1,0.9484568731808082,0.2898015364959257,0.011882592184470407,0.0062305996111540725,0.52
CDNS,100,8,0.2,2.696547901469092,2.571755906135277,0.022455730838190503,0.012103080774465456,0.48
CZR,100,5,0.2,1.8839093197490553,1.5910187721216587,0.034159542473132395,0.030559341560749687,0.48
CPT,500,3,0.01,1.1126342987904445,0.37160896473145133,0.01073482080571126,0.005346605563326627,0.64
CPB,500,4,0.01,0.7862285591369098,0.29321095028053185,0.01758493999683915,0.006390767821975579,0.16
COF,50,3,0.1,1.9604517702330635,0.9759625747989303,0.016041258364789084,0.00801926223455368,0.44
CAH,200,8,0.2,1.219241672221452,0.5412517575456616,0.017707451008052523,0.006085143465733544,0.56
KMX,100,5,0.3,1.3198192381783358,0.47919586349089427,0.015010182836090772,0.006740511293759635,0.48
CCL,50,8,0.3,0.8124768861898775,0.26128403920279497,0.021291638559128866,0.00589299199240114,0.56
CARR,500,4,0.1,1.5116085406422575,0.7168012193455481,0.028734642901514097,0.012908977369500045,0.64
CTLT,500,3,0.1,0.9481530372441631,0.6681942223709301,0.013584108241828046,0.007392757093445894,0.6
CBOE,100,4,0.2,1.5569032538190972,0.6953210647232527,0.012191602552341646,0.006442906615446379,0.64
CBRE,100,5,0.2,1.1525871148191107,0.32357795279793244,0.018454558356309075,0.008837748081680488,0.4
CDW,50,8,0.2,1.6354733575823013,0.8728441704703563,0.014172493116882104,0.007133435624115099,0.4
CE,50,8,0.3,1.8255697736171559,0.9816467238198833,0.017241263452252662,0.009741793650572365,0.6
COR,500,3,0.01,1.7857167347131124,0.6276230822101144,0.015820537478081802,0.006439334539209543,0.36
CNC,200,8,0.1,0.8425835735985023,0.1842064693970502,0.015561762848053839,0.006582528879291316,0.6
CNP,200,3,0.1,0.340890621274046,0.13755634475034403,0.013691846020889537,0.007323162745033878,0.56
CDAY,100,3,0.3,1.7993111311627779,1.1303272935371322,0.022881604621367256,0.012995982077994076,0.64
CF,500,4,0.01,1.047812537682142,0.7098510823047252,0.017302736514905888,0.008827595991395655,0.6
CRL,100,5,0.1,5.343868444065428,4.285651180633558,0.027169482312999295,0.01185669345056184,0.32
SCHW,500,3,0.2,1.179668072600028,0.6420927337411896,0.0241326103106269,0.01464720418002071,0.4
CHTR,200,3,0.3,8.619072797402527,5.43364505585683,0.01743645326220387,0.004718702770443734,0.6
CVX,500,4,0.3,1.6777843620514574,1.4497167660316344,0.020584052780110655,0.02684571650142288,0.56
CMG,500,3,0.3,20.627698020450186,6.069208161124733,0.0222785703284226,0.012368963311654818,0.48
CB,50,3,0.3,1.7450480545667744,0.7563328506350023,0.01144556018345907,0.006100606746299971,0.56
CHD,500,3,0.01,0.8903731085233986,0.3847002328759362,0.010943525945582021,0.004602793428765435,0.44
CI,200,3,0.3,3.0359180106296253,0.9791876564877983,0.015056308506567296,0.007528463026817923,0.52
CINF,50,3,0.3,1.5867241757876163,0.9009653087304074,0.017109689784063093,0.008306973267779329,0.52
CTAS,200,3,0.1,2.956006152546215,2.2194251877422704,0.010701998822737719,0.006996396389792542,0.6
CSCO,200,4,0.1,1.0981061871364743,1.0811796202157398,0.02394322929923982,0.018755224377240996,0.48
C,50,3,0.3,0.8292770437349807,0.2908947515763778,0.014587699453473999,0.007598401448704391,0.72
CFG,500,3,0.01,0.5059266758334797,0.14385856664243588,0.014845995164392375,0.00438543385833883,0.64
CLX,50,3,0.1,1.9220475408634496,0.9400016367871208,0.01330671232089961,0.009553486733976883,0.44
CME,100,8,0.1,1.7737240585739393,0.5699091288560314,0.011340609195661955,0.0041228041957162,0.6
CMS,200,8,0.1,0.5382976475014315,0.19567122092533892,0.01062798487100217,0.0035322091991558504,0.6
KO,200,3,0.1,0.3771953444909288,0.16864928991597558,0.0076186548402205154,0.004724112328470894,0.6
CTSH,100,3,0.3,0.8998044713250586,0.49461198808787576,0.012701433199836173,0.008284670287228466,0.4
CL,500,4,0.01,0.6592938476100363,0.46939976432468467,0.009519267401013633,0.00782084968445821,0.52
CMCSA,50,5,0.2,0.625768259397541,0.3422282562500737,0.013103253308803565,0.006288590714028208,0.6
CMA,50,3,0.2,1.1224123165524724,0.3906841954782267,0.022268673395761513,0.011262156728779268,0.44
CAG,200,4,0.01,0.4585285865685849,0.13311763119874118,0.013257380373619157,0.005502577417809276,0.6
COP,50,4,0.3,1.4521117254944103,0.8359525506967885,0.02878522167327415,0.026649504449817597,0.44
ED,500,3,0.1,0.7062259158512376,0.2668331311056921,0.009350474780539745,0.004860495582021225,0.52
STZ,100,3,0.1,2.064773350877874,0.9170441719211821,0.009719110570924585,0.005385825495848692,0.56
CEG,100,4,0.3,1.9659994012745112,0.9267563596806674,0.020709210925418928,0.011325565177474626,0.52
COO,100,3,0.1,5.299727081879625,4.426247091838972,0.014954697026730749,0.009317517454186434,0.52
CPRT,100,3,0.2,0.39638319206116035,0.36323934746378206,0.013218023723421896,0.005319036872128471,0.6
GLW,50,3,0.1,0.3137439417301181,0.07778615434181824,0.012381686775413491,0.007402558954265945,0.6
CTVA,500,8,0.1,1.190295495186793,0.4718605014269856,0.024370194325055675,0.009080559967256967,0.48
CSGP,50,3,0.3,0.6445910798037305,0.16839353588328357,0.013350992209441137,0.008197580459921928,0.72
COST,500,3,0.2,6.130321470221413,3.145603333358917,0.02017033367319815,0.010657944167270407,0.44
CTRA,500,3,0.01,0.7058799847834952,1.0222061327618381,0.03726279884293944,0.05895592630836429,0.72
CCI,100,5,0.3,2.011491961850169,0.701600893047714,0.01886270875568507,0.0073495970160132075,0.4
CSX,100,3,0.1,0.2577860503338074,0.03758821287950742,0.014158835286562258,0.009716294569293724,0.6
CMI,50,4,0.1,2.3262447346184922,1.1093129505772605,0.014866813292754247,0.011796233909428461,0.4
CVS,50,3,0.3,1.0376532196864912,0.4997328406787437,0.012537938202433202,0.005900916833085066,0.52
DHI,500,3,0.01,0.8552388910423367,0.3897455546512943,0.012900923461552777,0.007470268376670704,0.48
DHR,200,5,0.1,1.8555809511894104,0.7715003283637158,0.011576779930051191,0.006595729594912372,0.68
DRI,500,4,0.2,2.0799786814342123,1.2257668760383282,0.017024473026644282,0.005411468121127972,0.64
DVA,100,3,0.3,0.9758166235807112,0.35854722795990623,0.011193671576185357,0.0067510750787291175,0.56
DE,50,3,0.1,4.0324675028809125,2.82650971191461,0.015706793305228617,0.0069567612792927214,0.6
