gbm_avg_RMSE,gbm_avg_MAPE,arima_avg_RMSE,arima_std_RMSE,arima_avg_MAPE,arima_std_MAPE,arima_model_order,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_avg_RMSE,xgb_std_RMSE,xgb_avg_MAPE,xgb_std_MAPE,xgb_Accuracy,lstm_avg_RMSE,lstm_std_RMSE,lstm_avg_MAPE,lstm_std_MAPE,lstm_model
8.092,0.0839999999999999,1.424,0.138494187603668,0.030266,4.715628424717113,"(0, 1, 1)",500,3,0.1,2.947717227760379,3.13433160981226,0.0269217569337799,0.0144159668868574,0.28,5.767298302784831,6.388042078688586,0.0469803898916979,0.033729725631016,<keras.src.engine.sequential.Sequential object at 0x7ec924138700>
4.82,0.1519999999999999,0.22599999999999998,0.0129398608956974,0.015904,1.0055336095824945,"(1, 1, 1)",50,3,0.3,0.9867945728516228,0.5622133640740481,0.0297310027727396,0.0184684884921803,0.6,1.881555465819284,0.9680917121231624,0.0511518895007422,0.0238679085935591,<keras.src.engine.sequential.Sequential object at 0x7ec9f0135540>
7.814,0.088,1.008,0.0600013333185188,0.04056399999999999,5.726731898735961,"(1, 1, 0)",500,4,0.3,1.3502460485465082,0.5812739065277863,0.0195260607243421,0.0091482412272724,0.6,5.905118364928481,5.349204189798841,0.052131175033799,0.0226146346920284,<keras.src.engine.sequential.Sequential object at 0x7ec95837a7d0>
9.31,0.1,3.068,0.3812460622747466,0.03555200000000001,1.9693084471458504,"(2, 1, 1)",100,3,0.1,1.2641110199302532,0.5785865835695089,0.0159794455348932,0.0096223093328671,0.32,3.2333565926604173,1.4056708187682123,0.0391407084484658,0.020617185305363,<keras.src.engine.sequential.Sequential object at 0x7ec91d3a5990>
4.862,0.066,1.528,0.1749107200831327,0.019798,1.2713094666523963,"(0, 1, 0)",50,8,0.3,0.9330798130368548,0.3900942381461532,0.0126010383451941,0.0112038152048481,0.68,2.93533721923599,1.0739936938984596,0.0339810596560309,0.0101624990352641,<keras.src.engine.sequential.Sequential object at 0x7ec9dff733d0>
2.4200000000000004,0.058,0.804,0.0720821753278853,0.030694,3.7889539770232097,"(0, 1, 1)",50,4,0.2,0.4441562899270272,0.1851343058120851,0.0097419396357053,0.005204580797726,0.48,1.4769093071287085,0.9196741764575485,0.0257400175033007,0.0041747520663445,<keras.src.engine.sequential.Sequential object at 0x7ec99e10bbe0>
12.518,0.068,3.199999999999999,0.4515688208900167,0.019402,0.734583528266187,"(3, 1, 1)",100,8,0.3,3.208087485975609,2.0990117548211398,0.0135945950895357,0.005799645077404,0.6,8.793977143754656,5.705289815465965,0.0378962340737098,0.0151102603299603,<keras.src.engine.sequential.Sequential object at 0x7ec8e0e458a0>
43.358,0.142,0.698,0.0641541892630559,0.03521,3.20776277177724,"(3, 1, 0)",50,5,0.2,9.649370160897858,8.67343631597227,0.0226800555654807,0.0075495439154209,0.52,21.655796957294644,18.328255998580723,0.0454711941753032,0.0238934734241825,<keras.src.engine.sequential.Sequential object at 0x7ec958465d20>
5.644,0.056,2.238,0.2284288948447634,0.009698,0.4025719314607018,"(0, 1, 1)",50,8,0.1,1.9282078311255355,0.5592711276777551,0.0182815123483849,0.0115279772739585,0.52,4.518907801562429,2.412080922412088,0.0323040884997571,0.0124429457604079,<keras.src.engine.sequential.Sequential object at 0x7ec91d38d600>
4.8740000000000006,0.0799999999999999,1.794,0.1880687108479238,0.02579,1.954486735693031,"(2, 1, 0)",50,4,0.3,0.5184808901317073,0.1907760275812384,0.009986225688091,0.0066359786890126,0.56,2.266692688151367,1.48301161930001,0.0387215115502453,0.0220217201976531,<keras.src.engine.sequential.Sequential object at 0x7ec8e0ddd390>
